id,category,urgency_level,urgency_score,text_description,image_description,issue_type,location_type,timestamp
road_problems_MEDIUM_5896,road_problems,MEDIUM,4,Problem: uneven surface intersection. This is concerning and requires resolution. Ongoing issue. Starting to getting media attention. Close to residential homes.,Photo of uneven surface showing visible but manageable problem intersection. Photo taken morning shot with after rain. Multiple angles shown.,uneven surface,intersection,2025-09-04 06:10:09.929596
road_problems_MEDIUM_9546,road_problems,MEDIUM,5,Hey there's a problem: broken roads highway. this is troublesome and requires resolution. noticed last week. starting to causing delays. near the main entrance.,Photo of broken roads showing some inconvenience to traffic highway. Photo taken during daytime with overcast sky. Close-up detail visible.,broken roads,highway,2025-09-12 06:10:09.929596
road_problems_MEDIUM_2404,road_problems,MEDIUM,7,"Issue with uneven surface highway. While not emergency, it needs proper attention this week. Getting worse. Starting to getting media attention. Visible from the road.",Photo of uneven surface showing some inconvenience to traffic highway. Photo taken morning shot with overcast sky. Close-up detail visible.,uneven surface,highway,2025-09-20 06:10:09.929596
road_problems_MEDIUM_5770,road_problems,MEDIUM,6,Problem: uneven surface side road. This is problematic and requires resolution. Getting worse. Starting to people complaining. In a busy area.,Photo of uneven surface showing some inconvenience to traffic side road. Photo taken in the evening with clear weather. Clear visibility.,uneven surface,side road,2025-09-23 06:10:09.929596
road_problems_MEDIUM_7679,road_problems,MEDIUM,5,Problem: potholes highway. This is concerning and requires resolution. Getting worse. Starting to people complaining. Close to residential homes.,Photo of potholes showing moderate damage highway. Photo taken during daytime with after rain. Clear visibility.,potholes,highway,2025-09-24 06:10:09.929596
road_problems_MEDIUM_5350,road_problems,MEDIUM,6,Problem: broken roads main road. This is problematic and requires resolution. Getting worse. Starting to people complaining. Near the main entrance.,Photo of broken roads showing moderate damage main road. Photo taken during daytime with after rain. Multiple angles shown.,broken roads,main road,2025-09-18 06:10:09.929596
road_problems_MEDIUM_1977,road_problems,MEDIUM,5,Problem: broken roads main road. This is problematic and requires resolution. Getting worse. Starting to getting media attention. Visible from the road.,Photo of broken roads showing visible but manageable problem main road. Photo taken in the evening with after rain. Multiple angles shown.,broken roads,main road,2025-09-05 06:10:09.929596
road_problems_MEDIUM_4810,road_problems,MEDIUM,7,Help! We have reporting uneven surface bridge. this is causing inconvenience for residents. please address when possible. noticed last week. starting to causing delays. in a busy area.,Photo of uneven surface showing moderate damage bridge. Photo taken during daytime with overcast sky. Good image quality.,uneven surface,bridge,2025-09-25 06:10:09.929596
road_problems_MEDIUM_4090,road_problems,MEDIUM,4,This is ridiculous problem: potholes bridge. this is problematic and requires resolution. getting worse. starting to getting media attention. visible from the road.,Photo of potholes showing moderate damage bridge. Photo taken morning shot with after rain. Clear visibility.,potholes,bridge,2025-08-27 06:10:09.929596
road_problems_MEDIUM_3762,road_problems,MEDIUM,4,There's a road collapse bridge that needs attention. It's concerning and should be fixed soon. Noticed last week. Starting to getting media attention. Near the main entrance.,Photo of road collapse showing some inconvenience to traffic bridge. Photo taken afternoon lighting with after rain. Good image quality.,road collapse,bridge,2025-08-28 06:10:09.929596
road_problems_MEDIUM_3588,road_problems,MEDIUM,7,This is ridiculous reporting cracks residential street. this is causing inconvenience for residents. please address when possible. ongoing issue. starting to causing delays. visible from the road.,Photo of cracks showing moderate damage residential street. Photo taken during daytime with clear weather. Close-up detail visible.,cracks,residential street,2025-09-05 06:10:09.929596
road_problems_MEDIUM_4467,road_problems,MEDIUM,7,"Issue with cracks side road. While not critical, it needs proper attention when possible. Ongoing issue. Starting to causing delays. In a busy area.",Photo of cracks showing visible but manageable problem side road. Photo taken in the evening with after rain. Close-up detail visible.,cracks,side road,2025-09-02 06:10:09.929596
road_problems_MEDIUM_6414,road_problems,MEDIUM,5,How long do we wait reporting cracks highway. this is causing problems for residents. please address when possible. getting worse. starting to causing delays. in a busy area.,Photo of cracks showing visible but manageable problem highway. Photo taken afternoon lighting with after rain. Close-up detail visible.,cracks,highway,2025-09-22 06:10:09.930595
road_problems_MEDIUM_8739,road_problems,MEDIUM,7,"Issue with uneven surface side road. While not critical, it needs proper attention when possible. Getting worse. Starting to causing delays. In a busy area.",Photo of uneven surface showing moderate damage side road. Photo taken during daytime with sunny conditions. Close-up detail visible.,uneven surface,side road,2025-09-25 06:10:09.930595
road_problems_MEDIUM_1249,road_problems,MEDIUM,5,"Issue with cracks intersection. While not emergency, it needs proper attention when possible. Getting worse. Starting to causing delays. In a busy area.",Photo of cracks showing some inconvenience to traffic intersection. Photo taken afternoon lighting with clear weather. Multiple angles shown.,cracks,intersection,2025-09-05 06:10:09.930595
road_problems_MEDIUM_2562,road_problems,MEDIUM,7,Reporting waterlogging highway. This is causing inconvenience for residents. Please address when possible. Getting worse. Starting to affecting traffic. Close to residential homes.,Photo of waterlogging showing visible but manageable problem highway. Photo taken during daytime with overcast sky. Good image quality.,waterlogging,highway,2025-09-14 06:10:09.930595
road_problems_MEDIUM_8681,road_problems,MEDIUM,7,Problem: uneven surface intersection. This is concerning and requires resolution. Getting worse. Starting to people complaining. In a busy area.,Photo of uneven surface showing some inconvenience to traffic intersection. Photo taken morning shot with overcast sky. Clear visibility.,uneven surface,intersection,2025-09-16 06:10:09.930595
road_problems_MEDIUM_2491,road_problems,MEDIUM,5,"Issue with broken roads intersection. While not critical, it needs proper attention soon. Ongoing issue. Starting to people complaining. Visible from the road.",Photo of broken roads showing visible but manageable problem intersection. Photo taken morning shot with overcast sky. Good image quality.,broken roads,intersection,2025-09-25 06:10:09.930595
road_problems_MEDIUM_2147,road_problems,MEDIUM,4,There's a waterlogging highway that needs attention. It's important and should be fixed when possible. Ongoing issue. Starting to affecting traffic. Near the main entrance.,Photo of waterlogging showing moderate damage highway. Photo taken during daytime with sunny conditions. Close-up detail visible.,waterlogging,highway,2025-09-01 06:10:09.930595
road_problems_MEDIUM_5304,road_problems,MEDIUM,6,There's a waterlogging side road that needs attention. It's important and should be fixed at earliest. Been like this for a few days. Starting to affecting traffic. Visible from the road.,Photo of waterlogging showing some inconvenience to traffic side road. Photo taken during daytime with clear weather. Close-up detail visible.,waterlogging,side road,2025-09-05 06:10:09.930595
road_problems_MEDIUM_9109,road_problems,MEDIUM,6,Problem: waterlogging highway. This is concerning and requires resolution. Been like this for a few days. Starting to affecting traffic. Close to residential homes.,Photo of waterlogging showing visible but manageable problem highway. Photo taken afternoon lighting with clear weather. Close-up detail visible.,waterlogging,highway,2025-08-30 06:10:09.930595
road_problems_MEDIUM_2481,road_problems,MEDIUM,7,Problem: uneven surface residential street. This is troublesome and requires resolution. Getting worse. Starting to causing delays. Close to residential homes.,Photo of uneven surface showing some inconvenience to traffic residential street. Photo taken in the evening with overcast sky. Good image quality.,uneven surface,residential street,2025-09-05 06:10:09.930595
road_problems_MEDIUM_8655,road_problems,MEDIUM,6,"Issue with broken roads highway. While not emergency, it needs proper attention this week. Noticed last week. Starting to affecting traffic. Close to residential homes.",Photo of broken roads showing moderate damage highway. Photo taken during daytime with sunny conditions. Good image quality.,broken roads,highway,2025-09-22 06:10:09.930595
road_problems_MEDIUM_8868,road_problems,MEDIUM,4,There's a road collapse bridge that needs attention. It's problem and should be fixed at earliest. Ongoing issue. Starting to people complaining. Close to residential homes.,Photo of road collapse showing visible but manageable problem bridge. Photo taken during daytime with after rain. Good image quality.,road collapse,bridge,2025-09-20 06:10:09.930595
road_problems_MEDIUM_2200,road_problems,MEDIUM,5,Hey there's a there's a potholes side road that needs attention. it's problem and should be fixed this week. noticed last week. starting to affecting traffic. in a busy area.,Photo of potholes showing visible but manageable problem side road. Photo taken in the evening with after rain. Close-up detail visible.,potholes,side road,2025-09-10 06:10:09.930595
road_problems_MEDIUM_5504,road_problems,MEDIUM,5,Reporting waterlogging bridge. This is causing inconvenience for residents. Please address when possible. Getting worse. Starting to getting media attention. Visible from the road.,Photo of waterlogging showing moderate damage bridge. Photo taken during daytime with clear weather. Clear visibility.,waterlogging,bridge,2025-09-08 06:10:09.930595
road_problems_MEDIUM_7234,road_problems,MEDIUM,5,Reporting road collapse residential street. This is causing inconvenience for residents. Please address when possible. Been like this for a few days. Starting to causing delays. In a busy area.,Photo of road collapse showing visible but manageable problem residential street. Photo taken afternoon lighting with sunny conditions. Multiple angles shown.,road collapse,residential street,2025-09-08 06:10:09.930595
road_problems_MEDIUM_6980,road_problems,MEDIUM,6,"Issue with uneven surface side road. While not critical, it needs proper attention soon. Noticed last week. Starting to people complaining. In a busy area.",Photo of uneven surface showing some inconvenience to traffic side road. Photo taken during daytime with sunny conditions. Multiple angles shown.,uneven surface,side road,2025-09-17 06:10:09.930595
road_problems_MEDIUM_7743,road_problems,MEDIUM,6,Problem: waterlogging side road. This is problematic and requires resolution. Noticed last week. Starting to people complaining. Close to residential homes.,Photo of waterlogging showing visible but manageable problem side road. Photo taken morning shot with after rain. Multiple angles shown.,waterlogging,side road,2025-09-01 06:10:09.930595
road_problems_MEDIUM_4274,road_problems,MEDIUM,7,"Issue with uneven surface intersection. While not emergency, it needs proper attention this week. Getting worse. Starting to causing delays. Near the main entrance.",Photo of uneven surface showing visible but manageable problem intersection. Photo taken during daytime with after rain. Close-up detail visible.,uneven surface,intersection,2025-09-14 06:10:09.931597
road_problems_MEDIUM_3183,road_problems,MEDIUM,6,I would like to report problem: broken roads bridge. this is concerning and requires resolution. getting worse. starting to people complaining. close to residential homes.,Photo of broken roads showing moderate damage bridge. Photo taken in the evening with after rain. Clear visibility.,broken roads,bridge,2025-09-05 06:10:09.931597
road_problems_MEDIUM_4963,road_problems,MEDIUM,6,"Issue with potholes side road. While not emergency, it needs proper attention when possible. Noticed last week. Starting to affecting traffic. In a busy area.",Photo of potholes showing some inconvenience to traffic side road. Photo taken in the evening with overcast sky. Good image quality.,potholes,side road,2025-08-27 06:10:09.931597
road_problems_MEDIUM_2097,road_problems,MEDIUM,6,There's a broken roads highway that needs attention. It's important and should be fixed when possible. Been like this for a few days. Starting to causing delays. Close to residential homes.,Photo of broken roads showing visible but manageable problem highway. Photo taken morning shot with after rain. Multiple angles shown.,broken roads,highway,2025-09-03 06:10:09.931597
road_problems_MEDIUM_7497,road_problems,MEDIUM,5,Help! We have there's a waterlogging residential street that needs attention. it's troublesome and should be fixed soon. ongoing issue. starting to causing delays. near the main entrance.,Photo of waterlogging showing moderate damage residential street. Photo taken morning shot with clear weather. Multiple angles shown.,waterlogging,residential street,2025-09-16 06:10:09.931597
road_problems_MEDIUM_3603,road_problems,MEDIUM,4,Reporting uneven surface bridge. This is causing problems for residents. Please address when possible. Been like this for a few days. Starting to affecting traffic. Near the main entrance.,Photo of uneven surface showing visible but manageable problem bridge. Photo taken afternoon lighting with after rain. Close-up detail visible.,uneven surface,bridge,2025-09-26 06:10:09.931597
road_problems_MEDIUM_9309,road_problems,MEDIUM,6,Reporting uneven surface bridge. This is causing difficulties for residents. Please address when possible. Ongoing issue. Starting to causing delays. Visible from the road.,Photo of uneven surface showing some inconvenience to traffic bridge. Photo taken morning shot with clear weather. Good image quality.,uneven surface,bridge,2025-09-15 06:10:09.931597
road_problems_MEDIUM_7442,road_problems,MEDIUM,4,There's this reporting potholes side road. this is causing inconvenience for residents. please address when possible. getting worse. starting to people complaining. in a busy area.,Photo of potholes showing moderate damage side road. Photo taken afternoon lighting with sunny conditions. Good image quality.,potholes,side road,2025-09-14 06:10:09.931597
road_problems_MEDIUM_9840,road_problems,MEDIUM,4,Problem: potholes highway. This is problematic and requires resolution. Ongoing issue. Starting to causing delays. Visible from the road.,Photo of potholes showing some inconvenience to traffic highway. Photo taken during daytime with overcast sky. Multiple angles shown.,potholes,highway,2025-09-11 06:10:09.931597
road_problems_MEDIUM_8029,road_problems,MEDIUM,5,Reporting uneven surface intersection. This is causing problems for residents. Please address when possible. Been like this for a few days. Starting to affecting traffic. In a busy area.,Photo of uneven surface showing some inconvenience to traffic intersection. Photo taken afternoon lighting with clear weather. Good image quality.,uneven surface,intersection,2025-09-12 06:10:09.931597
road_problems_MEDIUM_4495,road_problems,MEDIUM,6,Reporting broken roads side road. This is causing inconvenience for residents. Please address when possible. Been like this for a few days. Starting to affecting traffic. Near the main entrance.,Photo of broken roads showing visible but manageable problem side road. Photo taken morning shot with overcast sky. Clear visibility.,broken roads,side road,2025-09-06 06:10:09.931597
road_problems_MEDIUM_2783,road_problems,MEDIUM,5,This could be dangerous problem: uneven surface highway. this is concerning and requires resolution. been like this for a few days. starting to causing delays. close to residential homes.,Photo of uneven surface showing moderate damage highway. Photo taken during daytime with clear weather. Multiple angles shown.,uneven surface,highway,2025-08-30 06:10:09.931597
road_problems_MEDIUM_8409,road_problems,MEDIUM,4,Problem: uneven surface side road. This is concerning and requires resolution. Ongoing issue. Starting to causing delays. Visible from the road.,Photo of uneven surface showing some inconvenience to traffic side road. Photo taken during daytime with overcast sky. Close-up detail visible.,uneven surface,side road,2025-09-07 06:10:09.931597
road_problems_MEDIUM_2861,road_problems,MEDIUM,7,Help! We have there's a uneven surface side road that needs attention. it's needs attention and should be fixed this week. noticed last week. starting to affecting traffic. in a busy area.,Photo of uneven surface showing moderate damage side road. Photo taken in the evening with after rain. Close-up detail visible.,uneven surface,side road,2025-09-23 06:10:09.931597
road_problems_MEDIUM_8670,road_problems,MEDIUM,4,Reporting uneven surface intersection. This is causing difficulties for residents. Please address when possible. Getting worse. Starting to getting media attention. In a busy area.,Photo of uneven surface showing visible but manageable problem intersection. Photo taken during daytime with after rain. Multiple angles shown.,uneven surface,intersection,2025-09-07 06:10:09.931597
road_problems_MEDIUM_1315,road_problems,MEDIUM,5,"Issue with broken roads highway. While not emergency, it needs proper attention this week. Ongoing issue. Starting to affecting traffic. In a busy area.",Photo of broken roads showing visible but manageable problem highway. Photo taken during daytime with after rain. Multiple angles shown.,broken roads,highway,2025-09-09 06:10:09.931597
road_problems_MEDIUM_3182,road_problems,MEDIUM,5,"Issue with cracks bridge. While not emergency, it needs proper attention soon. Ongoing issue. Starting to affecting traffic. In a busy area.",Photo of cracks showing some inconvenience to traffic bridge. Photo taken in the evening with sunny conditions. Close-up detail visible.,cracks,bridge,2025-09-10 06:10:09.931597
road_problems_MEDIUM_4342,road_problems,MEDIUM,5,I fear that there's a potholes residential street that needs attention. it's important and should be fixed few days. been like this for a few days. starting to getting media attention. close to residential homes.,Photo of potholes showing moderate damage residential street. Photo taken afternoon lighting with after rain. Multiple angles shown.,potholes,residential street,2025-09-23 06:10:09.931597
road_problems_MEDIUM_1001,road_problems,MEDIUM,7,How long do we wait problem: broken roads intersection. this is concerning and requires resolution. ongoing issue. starting to people complaining. close to residential homes.,Photo of broken roads showing moderate damage intersection. Photo taken in the evening with sunny conditions. Clear visibility.,broken roads,intersection,2025-09-23 06:10:09.931597
road_problems_MEDIUM_4308,road_problems,MEDIUM,6,There's a uneven surface bridge that needs attention. It's concerning and should be fixed at earliest. Been like this for a few days. Starting to people complaining. Visible from the road.,Photo of uneven surface showing visible but manageable problem bridge. Photo taken morning shot with after rain. Good image quality.,uneven surface,bridge,2025-09-17 06:10:09.931597
road_problems_MEDIUM_6267,road_problems,MEDIUM,7,"I'm sick of issue with waterlogging residential street. while not emergency, it needs proper attention this week. ongoing issue. starting to causing delays. visible from the road.",Photo of waterlogging showing visible but manageable problem residential street. Photo taken morning shot with sunny conditions. Close-up detail visible.,waterlogging,residential street,2025-09-26 06:10:09.931597
road_problems_MEDIUM_3660,road_problems,MEDIUM,4,There's a potholes intersection that needs attention. It's concerning and should be fixed when possible. Noticed last week. Starting to getting media attention. In a busy area.,Photo of potholes showing visible but manageable problem intersection. Photo taken in the evening with overcast sky. Good image quality.,potholes,intersection,2025-09-15 06:10:09.931597
road_problems_MEDIUM_8845,road_problems,MEDIUM,5,I fear that problem: cracks main road. this is troublesome and requires resolution. noticed last week. starting to affecting traffic. in a busy area.,Photo of cracks showing moderate damage main road. Photo taken during daytime with clear weather. Good image quality.,cracks,main road,2025-09-12 06:10:09.932601
road_problems_MEDIUM_2308,road_problems,MEDIUM,5,"I'm sick of issue with potholes side road. while not emergency, it needs proper attention when possible. getting worse. starting to people complaining. visible from the road.",Photo of potholes showing moderate damage side road. Photo taken afternoon lighting with sunny conditions. Clear visibility.,potholes,side road,2025-08-27 06:10:09.932601
road_problems_MEDIUM_5902,road_problems,MEDIUM,4,Reporting potholes main road. This is causing inconvenience for residents. Please address when possible. Getting worse. Starting to getting media attention. Near the main entrance.,Photo of potholes showing moderate damage main road. Photo taken in the evening with overcast sky. Multiple angles shown.,potholes,main road,2025-09-25 06:10:09.932601
road_problems_MEDIUM_9836,road_problems,MEDIUM,4,I am writing to inform there's a uneven surface main road that needs attention. it's concerning and should be fixed this week. ongoing issue. starting to getting media attention. visible from the road.,Photo of uneven surface showing some inconvenience to traffic main road. Photo taken in the evening with overcast sky. Clear visibility.,uneven surface,main road,2025-09-05 06:10:09.932601
road_problems_MEDIUM_9858,road_problems,MEDIUM,6,"Issue with cracks intersection. While not critical, it needs proper attention soon. Been like this for a few days. Starting to affecting traffic. Near the main entrance.",Photo of cracks showing some inconvenience to traffic intersection. Photo taken during daytime with after rain. Good image quality.,cracks,intersection,2025-09-17 06:10:09.932601
road_problems_MEDIUM_9337,road_problems,MEDIUM,7,There's this reporting broken roads intersection. this is causing problems for residents. please address when possible. noticed last week. starting to affecting traffic. close to residential homes.,Photo of broken roads showing moderate damage intersection. Photo taken morning shot with after rain. Clear visibility.,broken roads,intersection,2025-08-27 06:10:09.932601
road_problems_MEDIUM_9496,road_problems,MEDIUM,4,"Issue with waterlogging side road. While not critical, it needs proper attention when possible. Been like this for a few days. Starting to people complaining. Close to residential homes.",Photo of waterlogging showing some inconvenience to traffic side road. Photo taken morning shot with overcast sky. Good image quality.,waterlogging,side road,2025-09-04 06:10:09.932601
road_problems_MEDIUM_3517,road_problems,MEDIUM,7,"This could be dangerous issue with waterlogging intersection. while not critical, it needs proper attention soon. been like this for a few days. starting to getting media attention. visible from the road.",Photo of waterlogging showing moderate damage intersection. Photo taken morning shot with after rain. Multiple angles shown.,waterlogging,intersection,2025-09-02 06:10:09.932601
road_problems_MEDIUM_3743,road_problems,MEDIUM,4,Reporting broken roads residential street. This is causing difficulties for residents. Please address when possible. Ongoing issue. Starting to getting media attention. Near the main entrance.,Photo of broken roads showing visible but manageable problem residential street. Photo taken during daytime with after rain. Clear visibility.,broken roads,residential street,2025-09-10 06:10:09.932601
road_problems_MEDIUM_2443,road_problems,MEDIUM,6,"Issue with broken roads intersection. While not critical, it needs proper attention few days. Getting worse. Starting to causing delays. Close to residential homes.",Photo of broken roads showing visible but manageable problem intersection. Photo taken afternoon lighting with clear weather. Good image quality.,broken roads,intersection,2025-09-05 06:10:09.932601
road_problems_MEDIUM_7621,road_problems,MEDIUM,7,Help! We have there's a potholes highway that needs attention. it's important and should be fixed this week. getting worse. starting to causing delays. near the main entrance.,Photo of potholes showing visible but manageable problem highway. Photo taken in the evening with clear weather. Multiple angles shown.,potholes,highway,2025-09-16 06:10:09.932601
road_problems_MEDIUM_6567,road_problems,MEDIUM,5,"Issue with potholes residential street. While not emergency, it needs proper attention this week. Ongoing issue. Starting to people complaining. Visible from the road.",Photo of potholes showing moderate damage residential street. Photo taken afternoon lighting with after rain. Good image quality.,potholes,residential street,2025-09-19 06:10:09.932601
road_problems_MEDIUM_8536,road_problems,MEDIUM,7,There's a waterlogging bridge that needs attention. It's concerning and should be fixed soon. Noticed last week. Starting to getting media attention. Visible from the road.,Photo of waterlogging showing moderate damage bridge. Photo taken in the evening with after rain. Good image quality.,waterlogging,bridge,2025-09-03 06:10:09.933598
road_problems_MEDIUM_3768,road_problems,MEDIUM,6,Reporting broken roads highway. This is causing problems for residents. Please address when possible. Getting worse. Starting to getting media attention. Close to residential homes.,Photo of broken roads showing some inconvenience to traffic highway. Photo taken during daytime with overcast sky. Good image quality.,broken roads,highway,2025-09-02 06:10:09.933598
road_problems_MEDIUM_9432,road_problems,MEDIUM,5,There's this there's a uneven surface side road that needs attention. it's needs attention and should be fixed soon. getting worse. starting to getting media attention. near the main entrance.,Photo of uneven surface showing moderate damage side road. Photo taken afternoon lighting with overcast sky. Clear visibility.,uneven surface,side road,2025-09-21 06:10:09.933598
road_problems_MEDIUM_8077,road_problems,MEDIUM,5,Problem: broken roads bridge. This is problematic and requires resolution. Ongoing issue. Starting to getting media attention. Visible from the road.,Photo of broken roads showing visible but manageable problem bridge. Photo taken afternoon lighting with overcast sky. Close-up detail visible.,broken roads,bridge,2025-08-27 06:10:09.933598
road_problems_MEDIUM_2273,road_problems,MEDIUM,4,I'm worried about there's a broken roads residential street that needs attention. it's issue and should be fixed at earliest. ongoing issue. starting to causing delays. near the main entrance.,Photo of broken roads showing some inconvenience to traffic residential street. Photo taken afternoon lighting with clear weather. Close-up detail visible.,broken roads,residential street,2025-09-26 06:10:09.933598
road_problems_MEDIUM_5071,road_problems,MEDIUM,4,Hey there's a problem: cracks highway. this is problematic and requires resolution. getting worse. starting to getting media attention. visible from the road.,Photo of cracks showing moderate damage highway. Photo taken morning shot with sunny conditions. Close-up detail visible.,cracks,highway,2025-09-07 06:10:09.933598
road_problems_MEDIUM_5699,road_problems,MEDIUM,6,There's a waterlogging side road that needs attention. It's important and should be fixed when possible. Getting worse. Starting to affecting traffic. Close to residential homes.,Photo of waterlogging showing moderate damage side road. Photo taken morning shot with sunny conditions. Good image quality.,waterlogging,side road,2025-09-11 06:10:09.933598
road_problems_MEDIUM_1218,road_problems,MEDIUM,4,There's a broken roads highway that needs attention. It's problem and should be fixed soon. Noticed last week. Starting to causing delays. Near the main entrance.,Photo of broken roads showing some inconvenience to traffic highway. Photo taken morning shot with clear weather. Good image quality.,broken roads,highway,2025-09-13 06:10:09.933598
road_problems_MEDIUM_5687,road_problems,MEDIUM,5,Problem: waterlogging highway. This is concerning and requires resolution. Ongoing issue. Starting to causing delays. Visible from the road.,Photo of waterlogging showing moderate damage highway. Photo taken in the evening with after rain. Close-up detail visible.,waterlogging,highway,2025-09-18 06:10:09.933598
road_problems_MEDIUM_4969,road_problems,MEDIUM,5,There is a problem: cracks main road. this is concerning and requires resolution. ongoing issue. starting to people complaining. visible from the road.,Photo of cracks showing some inconvenience to traffic main road. Photo taken morning shot with after rain. Clear visibility.,cracks,main road,2025-09-05 06:10:09.933598
road_problems_MEDIUM_9989,road_problems,MEDIUM,5,"Issue with cracks bridge. While not emergency, it needs proper attention at earliest. Getting worse. Starting to affecting traffic. Visible from the road.",Photo of cracks showing some inconvenience to traffic bridge. Photo taken in the evening with overcast sky. Clear visibility.,cracks,bridge,2025-09-24 06:10:09.933598
road_problems_MEDIUM_2976,road_problems,MEDIUM,4,Reporting cracks side road. This is causing problems for residents. Please address when possible. Noticed last week. Starting to causing delays. In a busy area.,Photo of cracks showing some inconvenience to traffic side road. Photo taken afternoon lighting with clear weather. Close-up detail visible.,cracks,side road,2025-09-15 06:10:09.933598
road_problems_MEDIUM_3178,road_problems,MEDIUM,6,Problem: potholes side road. This is troublesome and requires resolution. Noticed last week. Starting to affecting traffic. Near the main entrance.,Photo of potholes showing some inconvenience to traffic side road. Photo taken afternoon lighting with clear weather. Clear visibility.,potholes,side road,2025-09-04 06:10:09.933598
road_problems_MEDIUM_9132,road_problems,MEDIUM,7,"Issue with potholes bridge. While not emergency, it needs proper attention soon. Noticed last week. Starting to getting media attention. Near the main entrance.",Photo of potholes showing visible but manageable problem bridge. Photo taken morning shot with sunny conditions. Close-up detail visible.,potholes,bridge,2025-09-14 06:10:09.933598
road_problems_MEDIUM_3049,road_problems,MEDIUM,4,Problem: cracks main road. This is concerning and requires resolution. Getting worse. Starting to affecting traffic. In a busy area.,Photo of cracks showing some inconvenience to traffic main road. Photo taken afternoon lighting with clear weather. Good image quality.,cracks,main road,2025-09-22 06:10:09.933598
road_problems_MEDIUM_4257,road_problems,MEDIUM,5,Reporting waterlogging side road. This is causing difficulties for residents. Please address when possible. Getting worse. Starting to getting media attention. Close to residential homes.,Photo of waterlogging showing visible but manageable problem side road. Photo taken in the evening with clear weather. Multiple angles shown.,waterlogging,side road,2025-09-05 06:10:09.934596
road_problems_MEDIUM_2128,road_problems,MEDIUM,6,Problem: road collapse highway. This is troublesome and requires resolution. Been like this for a few days. Starting to causing delays. Close to residential homes.,Photo of road collapse showing some inconvenience to traffic highway. Photo taken morning shot with after rain. Multiple angles shown.,road collapse,highway,2025-08-28 06:10:09.934596
road_problems_MEDIUM_3598,road_problems,MEDIUM,4,Problem: uneven surface intersection. This is concerning and requires resolution. Ongoing issue. Starting to affecting traffic. Close to residential homes.,Photo of uneven surface showing some inconvenience to traffic intersection. Photo taken morning shot with after rain. Close-up detail visible.,uneven surface,intersection,2025-08-30 06:10:09.934596
road_problems_MEDIUM_9989,road_problems,MEDIUM,4,Reporting cracks side road. This is causing problems for residents. Please address when possible. Been like this for a few days. Starting to causing delays. Near the main entrance.,Photo of cracks showing moderate damage side road. Photo taken during daytime with sunny conditions. Close-up detail visible.,cracks,side road,2025-09-10 06:10:09.934596
road_problems_MEDIUM_1814,road_problems,MEDIUM,4,Reporting potholes residential street. This is causing problems for residents. Please address when possible. Ongoing issue. Starting to affecting traffic. In a busy area.,Photo of potholes showing some inconvenience to traffic residential street. Photo taken in the evening with after rain. Close-up detail visible.,potholes,residential street,2025-09-09 06:10:09.934596
road_problems_MEDIUM_8988,road_problems,MEDIUM,5,This is ridiculous reporting road collapse intersection. this is causing inconvenience for residents. please address when possible. getting worse. starting to people complaining. in a busy area.,Photo of road collapse showing moderate damage intersection. Photo taken morning shot with overcast sky. Close-up detail visible.,road collapse,intersection,2025-09-04 06:10:09.934596
road_problems_MEDIUM_5959,road_problems,MEDIUM,6,There's a waterlogging bridge that needs attention. It's concerning and should be fixed at earliest. Getting worse. Starting to causing delays. Near the main entrance.,Photo of waterlogging showing some inconvenience to traffic bridge. Photo taken during daytime with clear weather. Close-up detail visible.,waterlogging,bridge,2025-08-28 06:10:09.934596
road_problems_MEDIUM_6776,road_problems,MEDIUM,7,Reporting road collapse bridge. This is causing problems for residents. Please address when possible. Getting worse. Starting to people complaining. In a busy area.,Photo of road collapse showing visible but manageable problem bridge. Photo taken during daytime with overcast sky. Clear visibility.,road collapse,bridge,2025-08-31 06:10:09.934596
road_problems_MEDIUM_9728,road_problems,MEDIUM,7,"This concerns me issue with uneven surface main road. while not emergency, it needs proper attention this week. been like this for a few days. starting to getting media attention. visible from the road.",Photo of uneven surface showing some inconvenience to traffic main road. Photo taken in the evening with clear weather. Close-up detail visible.,uneven surface,main road,2025-09-05 06:10:09.934596
road_problems_MEDIUM_2453,road_problems,MEDIUM,7,Problem: broken roads bridge. This is troublesome and requires resolution. Been like this for a few days. Starting to affecting traffic. Close to residential homes.,Photo of broken roads showing moderate damage bridge. Photo taken afternoon lighting with after rain. Clear visibility.,broken roads,bridge,2025-08-28 06:10:09.934596
road_problems_MEDIUM_2344,road_problems,MEDIUM,4,I fear that reporting uneven surface highway. this is causing problems for residents. please address when possible. getting worse. starting to affecting traffic. near the main entrance.,Photo of uneven surface showing visible but manageable problem highway. Photo taken during daytime with clear weather. Clear visibility.,uneven surface,highway,2025-09-22 06:10:09.934596
road_problems_MEDIUM_8568,road_problems,MEDIUM,4,I would like to report reporting broken roads side road. this is causing inconvenience for residents. please address when possible. getting worse. starting to people complaining. close to residential homes.,Photo of broken roads showing visible but manageable problem side road. Photo taken in the evening with sunny conditions. Good image quality.,broken roads,side road,2025-09-22 06:10:09.934596
road_problems_MEDIUM_7690,road_problems,MEDIUM,5,Problem: road collapse bridge. This is concerning and requires resolution. Been like this for a few days. Starting to causing delays. Visible from the road.,Photo of road collapse showing moderate damage bridge. Photo taken afternoon lighting with after rain. Close-up detail visible.,road collapse,bridge,2025-08-29 06:10:09.934596
